DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2019-02-12,20190212,30125670,13313,6921488930,230.0,230.0,229.0,+,2.0,26643361.0,11540774.0,15102587.0,1226000,293000,933000,-63000,196000.0,259000.0,15972587,17.01,3.79,3.48,230.0
2019-02-13,20190213,28634925,10230,6575201825,232.0,232.0,228.5,-,1.0,24409522.0,12698036.0,11711486.0,50000,602000,-552000,-63000,308000.0,371000.0,11096486,16.94,3.77,3.49,229.0
2019-02-14,20190214,23647751,6873,5392943977,229.5,230.0,226.0,-,2.0,18838207.0,18057469.0,780738.0,0,565000,-565000,412000,628000.0,216000.0,627738,16.79,3.74,3.52,227.0
2019-02-15,20190215,22369799,5743,5093773373,229.0,229.0,226.5, ,0.0,20463160.0,16952928.0,3510232.0,0,393000,-393000,-468000,66000.0,534000.0,2649232,16.79,3.74,3.52,227.0
2019-02-18,20190218,18163916,7035,4169729625,229.0,230.5,228.5,+,3.0,14709000.0,8021000.0,6688000.0,153000,95000,58000,-400000,432000.0,832000.0,6346000,17.01,3.79,3.48,230.0
2019-02-19,20190219,18423023,6471,4228108427,230.0,230.5,229.0,-,1.0,12958978.0,13603300.0,-644322.0,325000,62000,263000,-84000,183000.0,267000.0,-465322,16.94,3.77,3.49,229.0
2019-02-20,20190220,31887710,14241,7430197670,231.5,234.5,231.0,+,5.5,26348508.0,13977444.0,12371064.0,559000,15000,544000,283000,515000.0,232000.0,13198064,17.34,3.86,3.41,234.5
2019-02-21,20190221,34013489,11443,8013908284,235.5,236.5,234.5,+,2.0,28664884.0,13984796.0,14680088.0,57000,72000,-15000,177000,888000.0,711000.0,14842088,17.49,3.89,3.38,236.5
2019-02-22,20190222,22032163,6913,5187054985,235.5,236.5,234.0, ,0.0,19757181.0,14803350.0,4953831.0,230000,170000,60000,-897000,82000.0,979000.0,4116831,17.47,3.66,3.38,236.5
2019-02-25,20190225,25227138,8527,5995746054,237.5,239.0,236.0,+,1.5,20670114.0,15443415.0,5226699.0,148000,24230,123770,69000,269000.0,200000.0,5419469,17.58,3.68,3.36,238.0
2019-02-26,20190226,24586789,7994,5864298571,239.0,240.0,236.5,+,1.5,20005821.0,15058177.0,4947644.0,12000,232000,-220000,71000,606000.0,535000.0,4798644,17.69,3.7,3.34,239.5
2019-02-27,20190227,37947889,9931,9052540803,238.5,239.5,237.0,-,0.5,34264501.0,31414567.0,2849934.0,147000,331000,-184000,-393000,139000.0,532000.0,2272934,17.65,3.7,3.35,239.0
2019-03-04,20190304,45164513,13323,10691130829,239.5,239.5,234.5,-,3.5,35157681.0,33525725.0,1631956.0,0,507230,-507230,624250,1018000.0,393750.0,1748976,17.39,3.64,3.4,235.5
2019-03-05,20190305,23708407,8706,5533050748,234.0,234.5,232.5,-,2.5,13633880.0,14308166.0,-674286.0,0,180000,-180000,362000,785000.0,423000.0,-492286,17.21,3.6,3.43,233.0
2019-03-06,20190306,20811226,7090,4872352124,235.0,235.5,233.5,+,1.0,11538507.0,9622506.0,1916001.0,8000,30000,-22000,-823000,368000.0,1191000.0,1071001,17.28,3.62,3.42,234.0
2019-03-07,20190307,17226192,5768,4029782428,235.0,235.0,233.0, ,0.0,11678710.0,11650133.0,28577.0,13000,102000,-89000,-798000,51000.0,849000.0,-858423,17.28,3.62,3.42,234.0
2019-03-08,20190308,22535659,8931,5183171608,231.0,231.5,229.0,-,4.0,8121394.0,17420783.0,-9299389.0,46000,681000,-635000,220000,405000.0,185000.0,-9714389,16.99,3.56,3.48,230.0
2019-03-11,20190311,34282793,7451,7835079913,228.0,230.5,227.5,+,0.5,22982519.0,30941575.0,-7959056.0,0,219000,-219000,466000,929000.0,463000.0,-7712056,17.02,3.56,3.47,230.5
2019-03-12,20190312,23839972,9253,5601351324,233.0,237.0,232.5,+,5.0,19632040.0,13614095.0,6017945.0,0,42000,-42000,266000,507000.0,241000.0,6241945,17.39,3.64,3.4,235.5
