DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2016-05-03,68909,21279,148.0,148.5,146.5,147.5,-,2.5,16652,63959,-47307,7,380,-373,2474,3035,561,-45206
2016-05-04,55586,13521,147.0,149.0,146.5,147.0,-,0.5,23512,50354,-26841,10,165,-155,1010,1449,439,-25986
2016-05-05,40687,9466,147.5,148.5,146.0,147.5,+,0.5,23891,37758,-13866,127,53,74,1451,1744,293,-12341
2016-05-06,39401,8372,148.5,148.5,147.0,148.0,+,0.5,30192,36329,-6136,11,19,-8,123,607,484,-6021
2016-05-09,39783,12836,148.5,149.0,146.5,147.5,-,0.5,24509,34812,-10302,145,0,145,-905,319,1224,-11062
2016-05-10,39210,8956,147.0,148.0,146.5,147.0,-,0.5,27595,36472,-8876,124,0,124,444,1262,818,-8308
2016-05-11,45610,11477,148.5,149.0,146.5,147.0, ,0.0,23622,40207,-16584,461,40,421,-156,1043,1199,-16318
2016-05-12,24008,7183,147.0,148.0,146.0,146.0,-,1.0,12719,19946,-7227,54,200,-146,-712,261,973,-8085
2016-05-13,60713,19508,145.0,145.5,143.0,144.0,-,2.0,21174,54670,-33496,329,9,320,934,1690,756,-32242
2016-05-16,32239,9667,143.0,145.5,143.0,144.5,+,0.5,16222,25969,-9747,616,67,549,-77,661,738,-9275
2016-05-17,32716,8501,145.5,147.0,145.0,147.0,+,2.5,18839,26699,-7860,610,50,560,-13,1044,1057,-7313
2016-05-18,31106,9452,146.0,147.0,145.0,147.0, ,0.0,20789,26726,-5936,100,27,73,440,1281,841,-5423
2016-05-19,35192,8803,148.0,148.5,145.5,147.0, ,0.0,23100,30080,-6979,321,44,277,-1132,347,1479,-7834
2016-05-20,38046,9513,147.5,149.5,147.0,148.5,+,1.5,30213,24041,6171,351,68,283,-3769,571,4340,2685
2016-05-23,50174,16914,150.5,154.5,149.5,154.0,+,5.5,37929,24540,13388,2867,12,2855,48,1077,1029,16291
2016-05-24,25677,8713,152.5,153.5,151.0,151.0,-,3.0,14396,19903,-5507,86,358,-272,781,978,197,-4998
2016-05-25,35410,10548,153.5,155.0,152.5,154.5,+,3.5,32483,20121,12362,681,71,610,-1023,183,1206,11949
2016-05-26,18822,8493,154.5,155.0,153.5,155.0,+,0.5,17094,13006,4087,158,33,125,-313,80,393,3899
2016-05-27,26617,7672,156.0,156.5,154.5,156.5,+,1.5,23274,17518,5755,331,0,331,-243,421,664,5843
2016-05-30,38311,11762,157.0,158.0,155.0,157.0,+,0.5,33433,14788,18644,0,87,-87,353,1153,800,18910
2016-05-31,70177,11056,156.5,157.5,155.0,156.5,-,0.5,63495,54960,8534,123,177,-54,-27,1443,1470,8452
2016-06-01,27743,9500,156.0,159.0,156.0,159.0,+,2.5,25491,12479,13012,18,63,-45,-620,334,954,12347
2016-06-02,21999,7933,159.0,160.0,158.0,159.0, ,0.0,20064,13207,6856,90,130,-40,-447,224,671,6369
2016-06-03,32020,10969,159.0,160.5,159.0,160.5,+,1.5,29889,12909,16979,78,249,-171,-289,146,435,16519
2016-06-04,2631,1428,160.0,160.0,159.5,160.0,-,0.5,820,68,752,189,897,-708,646,649,3,690
2016-06-06,28898,8667,161.0,162.0,160.0,161.0,+,1.0,25582,14280,11301,195,300,-105,72,814,742,11268
2016-06-07,47573,12269,161.5,163.5,161.0,162.0,+,1.0,42228,24398,17829,168,149,18,536,1162,626,18384
2016-06-08,45587,15173,164.0,166.0,163.5,165.5,+,3.5,38003,18869,19134,171,288,-117,-54,858,912,18963
2016-06-13,54689,14466,161.0,162.5,161.0,162.0,-,3.5,40653,49534,-8880,59,485,-426,1842,2269,427,-7464
2016-06-14,27823,10951,161.0,163.0,161.0,162.0, ,0.0,20536,16903,3633,37,490,-453,1950,2512,562,5130
2016-06-15,29328,9142,162.0,163.0,161.0,163.0,+,1.0,23694,18542,5152,25,11,14,1996,2660,664,7162
2016-06-16,36957,7324,161.5,162.5,159.5,160.5,-,2.5,22402,33055,-10653,0,258,-258,1960,2757,797,-8951
2016-06-17,31326,9885,162.5,164.5,162.0,163.0,+,2.5,27269,19594,7675,3,311,-308,-306,1730,2036,7060
2016-06-20,24949,8639,164.5,165.0,163.0,163.0, ,0.0,16588,16953,-365,124,49,75,2249,2960,711,1958
2016-06-21,28042,10369,164.0,165.5,163.5,165.5,+,2.5,22304,10639,11665,5,14,-9,555,2159,1604,12211
2016-06-22,30409,8180,164.5,166.0,163.5,166.0,+,0.5,23227,18900,4326,45,50,-5,2583,4043,1460,6904
2016-06-23,22592,8298,165.5,166.0,164.0,164.0,-,2.0,14661,12834,1827,25,40,-15,2898,3488,590,4710
2016-06-24,86994,27192,164.0,164.0,154.5,159.0,-,5.0,25966,65301,-39335,60,740,-680,9460,11413,1953,-30555
2016-06-27,43401,17925,154.5,156.0,154.0,155.5,X,0.0,22744,16441,6303,645,170,475,-5051,519,5570,1727
2016-06-28,39095,12685,155.5,157.5,155.0,157.0,+,1.5,27700,14021,13679,346,124,222,-1615,291,1906,12286
2016-06-29,32131,12754,158.5,160.0,158.0,159.0,+,2.0,24805,9817,14988,196,146,50,-1454,146,1600,13584
2016-06-30,42854,14833,161.0,163.0,159.5,162.5,+,3.5,38911,13716,25194,100,126,-26,-2767,293,3060,22401
2016-07-01,36577,13186,164.5,166.0,163.5,166.0,+,3.5,31893,8607,23285,20,149,-129,-1686,285,1971,21470
2016-07-04,25968,9484,165.5,166.5,164.5,166.0, ,0.0,21834,9455,12378,103,286,-183,-985,282,1267,11210
2016-07-05,16422,6930,165.0,165.5,164.0,164.0,-,2.0,11148,9044,2103,44,929,-885,231,541,310,1449
2016-07-06,35100,12026,163.0,163.0,160.5,161.5,-,2.5,16246,27589,-11343,22,711,-689,1252,1764,512,-10780
2016-07-07,24442,9726,163.5,165.0,163.0,164.5,+,3.0,14505,8718,5786,46,215,-169,-1663,220,1883,3954
2016-07-11,53434,14951,170.0,170.5,168.5,170.0,+,5.5,47277,21126,26151,144,463,-319,-5609,779,6388,20223
2016-07-12,42128,15021,171.0,171.5,169.5,171.0,+,1.0,34332,18233,16099,275,252,23,-627,421,1048,15495
2016-07-13,51719,17109,169.5,170.0,167.0,168.5,-,2.5,31722,44799,-13077,101,820,-719,1429,2043,614,-12367
2016-07-14,36131,12414,167.0,170.0,167.0,169.0,+,0.5,31153,22841,8311,202,615,-413,-2820,500,3320,5078
2016-07-15,41822,13283,168.0,169.5,166.5,169.5,+,0.5,30446,27588,2857,6,1094,-1087,587,1265,678,2356
2016-07-18,24774,6898,168.0,170.0,168.0,169.5, ,0.0,21340,15219,6120,57,655,-598,394,825,431,5916
2016-07-19,43707,12495,170.5,170.5,169.0,170.5,+,1.0,40614,30694,9919,235,1030,-795,-87,517,604,9037
2016-07-20,39076,14235,170.0,170.5,169.0,170.0,-,0.5,36384,23358,13025,240,211,28,-880,789,1669,12174
2016-07-21,35220,12625,171.0,172.0,170.0,172.0,+,2.0,31531,19791,11740,9,623,-614,137,701,564,11262
2016-07-22,29804,9643,172.0,172.0,170.5,171.0,-,1.0,26222,20479,5743,400,576,-176,-1407,272,1679,4160
2016-07-25,27180,9757,172.0,173.0,169.0,171.5,+,0.5,19083,14611,4472,998,125,873,-124,639,763,5221
2016-07-26,32736,12399,172.0,173.0,171.5,173.0,+,1.5,28454,18930,9523,342,408,-66,-19,197,216,9438
2016-07-27,36108,10896,175.0,176.0,174.5,175.0,+,2.0,30901,13082,17819,4,83,-79,-451,322,773,17289
