DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2018-01-02,18055,9954,231.5,232.5,231.0,232.5,+,3.0,14095,4487,9607,535,21,514,53,334,281,10174,17.52,4.21,3.01,18582,556,615,19753,0,1,1,1,1,1,1
2018-01-03,31706,13633,236.0,238.0,235.5,237.0,+,4.5,20313,11474,8838,1104,189,915,467,896,429,10220,17.86,4.3,2.95,31787,1293,1325,34405,0,0,1,1,1,1,1
2018-01-04,29179,10953,240.0,240.0,236.5,239.5,+,2.5,20471,9541,10930,95,48,47,-30,235,266,10947,18.05,4.34,2.92,30013,143,501,30658,0,0,1,1,1,0,1
2018-01-05,23721,8659,240.0,240.0,238.0,240.0,+,0.5,19104,9806,9298,136,113,23,-12,196,208,9309,18.09,4.35,2.92,28910,249,404,29563,0,0,1,1,1,0,1
2018-01-08,21846,10251,242.0,242.5,240.5,242.0,+,2.0,17528,7255,10272,161,13,148,45,94,49,10465,18.24,4.39,2.89,24783,174,143,25100,0,0,1,1,1,1,1
2018-01-09,19043,7124,242.0,242.0,239.5,242.0, ,0.0,13841,12278,1562,430,0,430,-51,143,194,1941,18.24,4.39,2.89,26119,430,337,26886,0,0,1,1,1,0,0
2018-01-10,25716,10534,241.5,242.0,236.0,236.5,-,5.5,13967,15107,-1139,524,74,450,-116,848,964,-805,17.82,4.29,2.96,29075,598,1812,31485,0,0,0,0,1,0,2
2018-01-11,32070,9199,235.0,236.0,232.5,235.0,-,1.5,19103,26181,-7078,41,209,-168,253,537,284,-6993,17.71,4.26,2.98,45285,250,821,46356,0,1,0,0,0,1,2
2018-01-12,23141,7905,234.5,238.0,233.5,237.0,+,2.0,13255,17310,-4054,44,35,9,570,665,95,-3475,17.86,4.3,2.95,30566,79,760,31405,0,1,0,0,1,1,1
2018-01-15,28576,9756,240.0,240.0,238.0,240.0,+,3.0,21263,20736,527,18,223,-205,55,307,252,377,18.09,4.35,2.92,41999,241,559,42799,0,1,1,1,0,1,1
